HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals
Belgium,England,2018,2,0,2
Russia,Saudi Arabia,2018,5,0,5
Germany,Sweden,2018,2,1,3
South Korea,Germany,2018,2,0,2
Mexico,Sweden,2018,0,3,3
Belgium,Panama,2018,3,0,3
Tunisia,England,2018,1,2,3
Belgium,Tunisia,2018,5,2,7
England,Panama,2018,6,1,7
England,Belgium,2018,0,1,1
Panama,Tunisia,2018,1,2,3
Colombia,Japan,2018,1,2,3
Poland,Senegal,2018,1,2,3
Japan,Senegal,2018,2,2,4
Poland,Colombia,2018,0,3,3
South Korea,Mexico,2018,1,2,3
Japan,Poland,2018,0,1,1
France,Argentina,2018,4,3,7
Uruguay,Portugal,2018,2,1,3
Spain,Russia,2018,1,1,2
Croatia,Denmark,2018,1,1,2
Brazil,Mexico,2018,2,0,2
Belgium,Japan,2018,3,2,5
Sweden,Switzerland,2018,1,0,1
Colombia,England,2018,1,1,2
Uruguay,France,2018,0,2,2
Sweden,England,2018,0,2,2
Russia,Croatia,2018,2,2,4
France,Belgium,2018,1,0,1
Croatia,England,2018,2,1,3
Senegal,Colombia,2018,0,1,1
France,Croatia,2018,4,2,6
Sweden,South Korea,2018,1,0,1
Switzerland,Costa Rica,2018,2,2,4
Egypt,Uruguay,2018,0,1,1
Russia,Egypt,2018,3,1,4
Uruguay,Saudi Arabia,2018,1,0,1
Uruguay,Russia,2018,3,0,3
Saudi Arabia,Egypt,2018,2,1,3
Morocco,Iran,2018,0,1,1
Portugal,Spain,2018,3,3,6
Portugal,Morocco,2018,1,0,1
Iran,Spain,2018,0,1,1
Iran,Portugal,2018,1,1,2
Spain,Morocco,2018,2,2,4
France,Australia,2018,2,1,3
Peru,Denmark,2018,0,1,1
Germany,Mexico,2018,0,1,1
Denmark,Australia,2018,1,1,2
Denmark,France,2018,0,0,0
Australia,Peru,2018,0,2,2
Argentina,Iceland,2018,1,1,2
Croatia,Nigeria,2018,2,0,2
Argentina,Croatia,2018,0,3,3
Nigeria,Iceland,2018,2,0,2
Nigeria,Argentina,2018,1,2,3
Iceland,Croatia,2018,1,2,3
Costa Rica,Serbia,2018,0,1,1
Brazil,Switzerland,2018,1,1,2
Brazil,Costa Rica,2018,2,0,2
Serbia,Switzerland,2018,1,2,3
Serbia,Brazil,2018,0,2,2
France,Peru,2018,1,0,1
Brazil,Belgium,2018,1,2,3